Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
Cuckoo,?,?,?,?,?,
Curlew,?,?,?,herd,?,
Deer,calf  fawn,doe hind cow,buck stag bull  hart (red deer),bunch  herd  mob  rangale,cervine elaphine,venison humble (organ meat)
Dhole,pup,?,?,pack,?,
Dingo,pup,?,?,pack,?,
Dinosaur,hatchling juvenile calf (herbivores) chick (carnivores),cow (herbivores) doe (carnivores),bull (herbivores) buck (carnivores),herd (herbivores) pack (carnivores),dinosaurian,
Dog,pup  puppy whelp,bitch,dog stud sire,pack (wild)   kennel  mute  litter (young)  cowardice (curs)   comedy (boxers)   cry (hounds),canine,
Dogfish (Also see Shark),?,?,?,troop,selachian squaloid,"Spiny dogfish capeshark (USA) flake (UK, AUS) huss (UK) kahada (CAN)  rigg (UK) rock salmon (UK)"
Dolphin,calf pup,cow,bull,school  pod   herd team,delphine,
Donkey - See Ass,,,,,,
Dove,chick,hen,cock,arc  cote dole   dule   flight    piteousness   pitying,columbine,
Dragonfly,nymph,queen,king drake,cluster flight,anisopteran,
Duck  (Also see Mallard),duckling,duck hen,drake cock,On land flock herd badling  brace  safe  sord  sore  waddling  On water bunch   paddling   raft   In flight skein  string  team,anatine fuliguline,poultry
Dugong,calf,cow,bull,herd,dugongine,
Dunlin,chick,?,?,fling,?,
Eagle,eaglet fledgling,,,convocation,aquiline,
Echidna,"puggle (in common use, but not scientifically endorsed)",?,?,,tachyglossine,
Eel,leptocephalus (larva) elver (juvenile),,,bed  swarm,anguilline,
Eland,calf,cow,bull,herd,?,
Elephant,calf,cow,bull,herd memory,elephantine proboscine proboscidean,
Elephant seal,calf,cow,bull,herd pack,miroungan,
Elk (wapiti),calf,cow,bull,gang  herd,cervine,venison
Emu,chick hatchling,?,?,mob,?,
Falcon,eyass/eyas,falcon,tiercel tercel terzel,?,acciptrine,
Ferret,kit,jill,hob,busyness  business,musteline,
Finch,chick,hen,cock,charm,fringilline,
Fish,fry fingerling,?,?,school,piscine,
Flamingo,chick,?,?,flamboyance,phoenicopterine,
Fly,maggot,?,?,business  cloud  swarm,dipterous,
Fox,cub  kit pup,vixen,tod dog reynard,leash   skulk,vulpine,
Frog,polliwog tadpole froglet,?,?,army,ranine,
Gaur,calf,cow,bull,herd,bovine gaurine,garabeef
Gazelle,calf,cow,bull,herd,gazelline,
Gecko,hatchling,dam (herpetoculture),sire (herpetoculture),?,?,
Gerbil,pup,doe,buck,horde,cricetine,
Giant panda,cub,sow,boar,sleuth  embarrassment,ailuropodine,
Giraffe,calf,cow,bull,herd corps  tower,giraffine,
Gnat,larva,?,?,cloud    horde    rabble  swarm,?,
Gnu,calf,cow,bull,herd implausibility,?,
Goat,kid,nanny doe doeling,billy buck buckling wether (castrated),herd flock  tribe  trip  trippe,caprine,chevon cabrito mutton
Goldfinch,?,?,?,charm,cardueline,
Goosander,?,?,?,dopping,?,
Goose,gosling,goose,gander,On land flock gaggle   plump  In flight skein    team   wedge   chevron[citation needed],anatine anserine,poultry
Gorilla,infant,,blackback silverback,band    troop  whoop,simian,
Goshawk,?,?,?,flight,?,
Grasshopper,nymph,?,?,cloud  swarm,caeliferian,
Grouse,?,?,?,covey  pack,tetraonine,
Guanaco,chulengo,?,?,herd,camelid,
Guinea fowl,keet,hen,cock,rasp  flock,numidine,poultry
Guinea pig,pup,sow,boar,herd,?,cuy
Gull,chick,hen,cock,colony flock,larine,
Hamster,pup,doe,buck,horde,cricetid,
Hare,leveret,doe jill,buck jack,band down  drove  flick  husk,leverine[citation needed] leporine,
Hawk,eyas,hen,tiercel,cast   aerie   staff   leash   flight   flock  Migrating in large groups kettle   boil   cauldron,accipitrine,
Hedgehog,hoglet piglet pup,sow,boar,array,erinaceine,
Hermit crab,zoea,?,?,?,paguroid,
Heron,chick,hen,cock,flight  sedge    sege   siege,ardeidine,
Herring,?,?,?,army   glean  shoal,clupeidean,
Hippopotamus,calf,cow,bull,sea    herd  thunder,hippopotamine,
Hoatzin,chick,?,?,?,?,
Hoopoe,chick,?,?,?,?,
Hornet,larvae pupae,queen,drone,bike  nest  swarm,vespine,
Horse,foal colt (male) filly (female) gelding (castrated male),mare dam,stallion stud,stable  stud  harras  herd (wild horses)  band (wild horses)  team (work horses)   rag (colts)  string (ponies)  field (racehorses),equine,
Human,baby child infant girl (female) boy (male),woman lady (colloquial),man gentleman (colloquial),group family band crowd clan tribe horde,human simian,
Hummingbird,chick,hen,cock,?,trochiline trochilidine,
Hyena,cub pup whelp,bitch,dog,cackle   clan,hyenine,
Ibex,kid,nanny,billy,herd,caprine,
Ibis,chick,?,?,?,threskiornithine,
Iguana,hatchling,cow,bull,?,?,
Impala,calf,ewe,ram,herd,?,
Jackal,pup,?,?,pack,?,
Jaguar,cub,?,?,prowl  leap,?,
Jay,chick,hen,cock,band  party  scold,corvine,
Jellyfish,planula polyp ephyra,,,bloom brood  fluther  smack   smuth,scyphozoan,
Jerboa,?,?,?,?,dipodine,
Kangaroo,joey,flyer doe jill roo,boomer buck jack,court herd troop  mob,macropodine,
Kingfisher,chick,?,?,?,alcedine,
Kinkajou,pup kit,sow,boar,troop convergence,potosine,
Koala,joey,doe,buck,?,phascolarctine,
Komodo dragon,hatchling chick calf,cow hen,bull cock,?,varanine,
Kookaburra,chick,?,?,?,?,
Kouprey,calf,cow,bull,herd,sauveline bovine,
Kudu,calf,cow,bull,herd,tragelaphine,
Lapwing,chick,?,?,deceit   desert,vanelline,
Lark,chick,hen,cock,exaltation,alaudine,
Lemur,infant,?,?,conspiracy,lemurine,
Leopard,cub,leopardess,leopard,leap    lepe,pardine,
Lion,cub,lioness,lion,pride    sawt,leonine,
Lizard,hatchling,?,?,?,?,
Llama,cria,hembra,macho,herd flock,camelid,
Lobster,?,hen,cock,risk,homarine,
Locust,nymph,,,cloud host swarm,caelifera,
Loris,infant,,,colony,lorisine,
Louse,nymph,,,colony,pediculine,
Lynx,kitten,?,?,?,feline,
Lyrebird,chick,hen,cock,musket,menurine,
Macaque,infant,?,?,?,simian,
Macaw,hatchling,?,?,?,?,
Magpie,chick,hen,cock,flock,garruline,
Mallard (Also see Duck),duckling,hen,greenhead,sord  suit,anatine,poultry
Mammoth,calf,cow,bull,herd pack,mammutine,
Manatee,calf,cow,bull,herd,manatine sirenian,
Mandrill,infant,,,horde,simian,
Marmoset,infant,?,?,?,simian,
Marmot,?,?,?,?,?,
Meerkat,meerkitten,,,Conspiracy,herpestine,
Mink,cub kit,sow,boar,?,musteline,
Mole,pup,sow,boar,?,talpine,
Mongoose,pup,?,?,troop committee delegation,herpestine,
Monkey,infant,,,troop,simian,
Moose,calf,cow,bull,herd,cervine,venison
Mosquito,nymph wriggler tumbler,,,swarm cloud,aedine anopheline,
Mouse,kitten pup As pet food pinky/fuzzy/crawler/hopper,doe,buck,colony nest,murine,
Myna,?,?,?,?,?,
Narwhal,calf,?,?,?,?,
Newt,eft,?,?,?,pleurodeline,
Nightingale,chick,hen,cock,watch,philomelian,
Nine-banded armadillo,?,?,?,?,?,
Octopus,fry,hen,?,consortium,octopodine,
Okapi,calf,cow,bull,herd,okapine,
Opossum,joey,jill,jack,passel,didelphine,
Orangutan,baby child infant,?,?,family troop band,simian,
Oryx (gemsbok),calf,?,?,herd,?,
Ostrich,hatchling chick,hen,cock,flock troop,ratite struthious,
Otter,pup whelp,sow,boar,romp,musteline lutrine,
Owl,fledgling owlet,?,?,parliament,strigine,
Oyster,spat,?,?,bed,ostracine,
Panther,cub,pantheress,panther,?,pantherine,
Parrot,chick,hen,cock,flock,psittacine,
Panda- See Giant panda,,,,,,
Partridge,chick,hen chantelle,cock,?,perdicine,
Peafowl,chick peachick,peahen,peacock,?,pavonine,poultry
Penguin,chick nestling,?,?,waddle (on land)   raft (in water)  rookery  colony  huddle  tuxedo,spheniscine,
Pheasant,chick,hen,cock,flock bouquet   nest  nide  nye,phasianine,
Pig  (Also see Boar),piglet farrow shoat/shote (just weaned),"sow (bred), gilt (not bred)","boar hog, barrow (castrated)",drift    drove   litter (piglets),porcine suilline,pork ham bacon
Pigeon,squab squeaker,hen,cock,flock flight  kit,pullastrine,squab
Pika,?,?,?,?,?,
Polar bear,cub,sow,boar,aurora  celebration  pack,ursine,
Pony- See Horse,,,,,,
Porcupine,pup,sow,boar,prickle,hystricine,
Porpoise,calf,cow,bull,pod school shoal,phocoenine,
Prairie dog,pup,sow,boar,town,cynomurine,
Pug,pup,bitch,dog stud sire,grumble,?,
Quail,chick,hen,cock,bevy,galliformine,
Quelea,chick,hen,cock,flock,queline,
Quetzal,nestling,?,?,flock,trogonine,
Rabbit,bunny kit kitten nestling,doe jill,buck jack yoyo,nest  litter (young) warren wrack (young),leporine,
Raccoon,cub kit,sow,boar,gaze  nursery committee smack brace troop,procyonine,
Ram (Also see Sheep),lamb,ewe,ram,flock,arietine ovine,lamb mutton
Rat,kitten[citation needed] pup,doe,buck,colony horde mischief,murine,
Raven,chick,hen,cock,unkindness,corvine,
Red deer,calf,hind,stag hart,herd,?,venison
Red panda,cub,sow,boar,pack,ailurid,
Reindeer (caribou),calf,cow,bull,herd,rangiferine,
Rhea,chick,?,?,?,?,
Rhinoceros,calf,cow,bull,herd crash,ceratorhine,
Rook,?,?,?,building  parliament,?,
Salamander,larva,?,?,maelstrom,caudatan salamandrine,
Salmon,parr,hen,cock,?,salmonine,
Sand dollar,larva pluteus (free swimming stage) juvenile (young urchin),?,?,?,clypeasteroid,
Sandpiper,?,?,?,fling,scolopacine,
Sardine,?,?,?,family,?,
Sea lion,pup calf,cow,bull,?,otarine,
Seahorse,seafoal,seamare,seastallion,shoal,hippocampal,
Seal,pup,cow,bull,herd  pod  rookery,phoca,
Shark,cub  pup,?,bull,shiver,selachian squaloid,flake (AUS)
Sheep  (Also see Ram),lamb lambkin cosset,ewe dam,ram buck wether (castrated),flock   fold  herd,ovine,lamb mutton hogget
Shrew,shrewlet,sow,boar,colony drove,soricine,
Siamang,?,?,?,?,?,
Skunk,kit,sow,boar,surfeit,mephitine,
Sloth,kitten pup baby,sow,boar,,xenarthran (broader group),
Snail,?,,,escargatoire   rout   walk,gastropodian,escargot
Snake,snakelet hatchling (newly hatched) neonate (newborn),,,nest  ball slither,anguine elapine serpentine viperine ophidian,
Spider,spiderling,?,?,cluster  clutter,arachnine arachnoid,
Squid,fry,,,shoal,Teuthidane,
Squirrel,pup kit kitten,doe,buck,scurry  dray,sciurine,
Starling,?,?,?,chattering   murmuration,sturnine,
Stegosaurus,?,?,?,handful,,
Swan,cygnet flapper,pen,cob,flock lamentation,cygnine,
Tamarin,?,?,?,?,simian,
Tapir,calf,cow,bull,herd,tapirine,
Tarsier,,,,,tarsiine,
Termite,larva,?,?,colony nest swarm,isopteran,
Tiger,cub  whelp,tigress,tiger,ambush  streak,tigrine,
Toad,tadpole toadlet,,,knot,ranine batrachian,
Toucan,chick,?,?,?,?,
Turaco,?,?,?,?,?,
Turkey,poult,hen,gobbler stag tom jake (immature),rafter,?,poultry
Turtle,hatchling,,,bale,chelonian,
Umbrellabird,chick,?,?,?,?,
Vicuña,calf,cow,bull,posse herd,camelid,
Vinegaroon,?,?,?,?,?,
Viper,hatchling,?,?,?,viperine,
Vulture,chick,?,?,?,?,
Wallaby,joey,jill,jack,mob,?,
Walrus,calf,cow,bull,herd  pod,odobenine,
Wasp,larva,queen worker,drone,swarm hive colony nest,vespine,
Water buffalo,calf,cow,bull,?,?,carabeef
Waxwing,?,?,?,?,?,
Weasel,pup kit,bitch doe jill,buck dog hub jack,gang  sneak,musteline,
Whale,calf,cow,bull,pod   school,cetacean cetaceous,blubber
Wobbegong,?,?,?,?,?,
Wolf,pup  puppy cub whelp,bitch she-wolf,dog,pack,lupine canine,
Wolverine,kit whelp,angeline,wolverine,pack,musteline,
Wombat,joey,jill,jack,wisdom,?,
Woodpecker,chick,?,?,?,?,
Worm,?,?,?,?,caecilian,
Wren,chick,cow,bull,?,troglodytine,
X-ray tetra,,,,,,
Yak,calf,cow,bull,herd,?,
Zebra,foal colt (male) filly (female),mare,stallion,herd   cohort  dazzle zeal,zebrine hippotigrine,
